epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
122,0.3969333333333333,1.4698902608211477,0.00025,0.39,1.4827163521520956
123,0.37866666666666676,1.4707738392801437,0.00025,0.396,1.4602197079498158
124,0.40013333333333323,1.463883445648622,0.00025,0.36,1.4835695265161553
125,0.4084,1.4505538957190114,0.00025,0.364,1.4693713943607185
126,0.39799999999999985,1.4573723916919672,0.000125,0.374,1.4867393882089324
127,0.3875999999999999,1.469681255381183,0.000125,0.378,1.4748403696507866
128,0.40453333333333347,1.4577804431484735,0.000125,0.352,1.4950489982399358
129,0.3992000000000001,1.4510736094440546,0.000125,0.414,1.4562814772427446
130,0.40840000000000004,1.4544510472962628,0.000125,0.36,1.4892439936621857
131,0.3999999999999999,1.457158994173432,0.000125,0.386,1.473385668860599
132,0.4189333333333334,1.4352243611895092,0.000125,0.376,1.495433068126166
133,0.41186666666666666,1.446612547128678,0.000125,0.406,1.4603533482831401
134,0.40159999999999996,1.4548125039628967,0.000125,0.358,1.493308915023439
135,0.3972,1.464980547478543,0.000125,0.344,1.4812850817789207
136,0.4043999999999999,1.4598889389039738,0.000125,0.376,1.4689156567074666
137,0.40893333333333326,1.4483135167426877,0.000125,0.39,1.4712742469047893
138,0.4201333333333333,1.4487575737469052,0.000125,0.386,1.4720308600035432
139,0.40453333333333324,1.4527046338823526,0.000125,0.396,1.4555026016039763
140,0.3972000000000001,1.461658058337592,0.000125,0.392,1.4428008805116086
141,0.40720000000000006,1.4458560186817386,0.000125,0.384,1.4656035512125203
142,0.4181333333333334,1.4389525645232655,0.000125,0.362,1.478958444842644
143,0.4003999999999999,1.4589801029824332,0.000125,0.366,1.475874967336917
144,0.40159999999999996,1.4522441754217708,0.000125,0.4,1.4546235426519496
145,0.3919999999999999,1.462523162191774,0.000125,0.382,1.4543881016578775
146,0.39586666666666637,1.4625421301065356,0.000125,0.372,1.4594510528181677
147,0.41559999999999986,1.4414933976079845,0.000125,0.358,1.4890741220119996
148,0.3946666666666666,1.4625232573543143,0.000125,0.412,1.4544206454944084
149,0.43493333333333356,1.434840445621609,0.000125,0.364,1.4650084463527342
150,0.41786666666666666,1.4393165756144841,0.000125,0.394,1.459114817814523
151,0.40746666666666664,1.4530113363473256,0.000125,0.382,1.4565619473962923
152,0.41480000000000006,1.4497001779813425,0.000125,0.41,1.436435229646273
153,0.3801333333333335,1.467618333573338,0.000125,0.382,1.4525035526447072
154,0.41026666666666656,1.4496141720516496,0.000125,0.404,1.4422501402034311
155,0.41733333333333356,1.4385993228102132,0.000125,0.402,1.4728409103218203
156,0.4101333333333335,1.447636918594672,0.000125,0.358,1.468180593669789
157,0.4311999999999999,1.434173739248894,0.000125,0.418,1.4287402368825575
158,0.428,1.437439756342058,0.000125,0.34,1.4763786517436868
159,0.40226666666666666,1.4516511873440934,0.000125,0.388,1.478353198515462
160,0.4111999999999999,1.4387596844342005,0.000125,0.374,1.4793615246030056
161,0.4138666666666665,1.4518686357659754,0.000125,0.43,1.455208493944142
162,0.4051999999999999,1.4531754380510193,0.000125,0.384,1.473561019519847
163,0.4039999999999999,1.4573899668834418,0.000125,0.382,1.4623678000509495
164,0.4014666666666665,1.4523803810382858,0.000125,0.406,1.4636974500122235
165,0.4072,1.452807884918283,0.000125,0.364,1.463580475144195
166,0.4122666666666666,1.451477979148875,0.000125,0.41,1.4444089627919687
167,0.4167999999999997,1.4445293498249088,0.000125,0.398,1.4455084675499519
168,0.3796000000000001,1.4616050807308318,0.000125,0.372,1.4762181667820964
169,0.41240000000000004,1.4488101735264294,0.000125,0.392,1.4745599492434243
170,0.41559999999999997,1.4463854994358516,0.000125,0.376,1.4765705357818686
171,0.4085333333333333,1.4507433296115506,0.000125,0.394,1.4615838356819988
172,0.3988000000000001,1.443892665796158,0.000125,0.378,1.4761497880849617
173,0.4274666666666668,1.4302396827267054,0.000125,0.394,1.4692526361206129
174,0.4165333333333331,1.4447151119432282,0.000125,0.39,1.4580781056622634
175,0.4206666666666666,1.4395027280549733,0.000125,0.414,1.4401970281057879
176,0.4246666666666664,1.4339790841483668,0.000125,0.402,1.4391420868357931
177,0.39613333333333317,1.4488158960290252,0.000125,0.368,1.4907263253861196
178,0.4109333333333333,1.4347992123796345,0.000125,0.324,1.4897450262820202
179,0.4069333333333335,1.457251453630244,0.000125,0.428,1.451527639611917
180,0.41133333333333355,1.445739542249161,0.000125,0.408,1.4411056765607293
181,0.42319999999999985,1.4256049605730337,0.000125,0.398,1.4734393871466696
182,0.42213333333333336,1.4346472941110857,0.000125,0.408,1.4803604859244421
183,0.39546666666666647,1.4544145972754279,0.000125,0.406,1.4465864628568317
184,0.4017333333333331,1.4541647393595565,0.000125,0.386,1.4522676211984384
185,0.4090666666666666,1.4568205011100235,0.000125,0.396,1.459558600541324
186,0.41773333333333307,1.4418912421361987,0.000125,0.408,1.4453217128648812
187,0.4262666666666668,1.4276681928973247,0.000125,0.368,1.4808887676166138
188,0.39893333333333336,1.4586634474882825,0.000125,0.414,1.444731533476156
189,0.434,1.4214252619183712,0.000125,0.39,1.4730102863938779
190,0.41626666666666673,1.4368150863348006,0.000125,0.394,1.4699253768387672
191,0.4196000000000001,1.4327427747571793,0.000125,0.372,1.4643501406221047
192,0.42293333333333344,1.4431704772841478,0.000125,0.382,1.465595810504659
193,0.41373333333333334,1.4377358036355403,0.000125,0.394,1.4571229699098103
194,0.4217333333333334,1.4259111565690228,0.000125,0.312,1.5016594024272827
195,0.4244000000000001,1.4307047606504257,0.000125,0.376,1.4666840362704394
196,0.42839999999999984,1.4302912317366645,0.000125,0.412,1.4689904916973924
197,0.40493333333333337,1.4503293264316413,0.000125,0.41,1.4628046648421344
198,0.4137333333333334,1.4370275961748453,0.000125,0.396,1.4457849033550279
199,0.4306666666666667,1.435068309752569,0.000125,0.388,1.4778477035420283
200,0.4182666666666664,1.4384866569313794,0.000125,0.38,1.45647367865745
