epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
129,0.4397333333333333,1.347839102253762,0.000125,0.372,1.4437114611268518
130,0.4331999999999999,1.3594154105222713,0.000125,0.418,1.3897255422766592
131,0.4389333333333334,1.3527625258367102,0.000125,0.428,1.3652114333340832
132,0.45466666666666683,1.3204038159863536,0.000125,0.44,1.3159655180012955
133,0.45240000000000014,1.3256055371527706,0.000125,0.428,1.3521521426246943
134,0.4204,1.3658492467491314,0.000125,0.414,1.3610737870855087
135,0.4320000000000002,1.3594381397557307,0.000125,0.416,1.364807693245971
136,0.4456000000000001,1.3185341431669793,0.000125,0.416,1.4004252940081507
137,0.4398666666666668,1.3393436117908295,0.000125,0.406,1.406148485874
138,0.4378666666666666,1.3514790823061265,0.000125,0.426,1.3310259569049847
139,0.45386666666666675,1.309531214519497,0.000125,0.434,1.3494259549227607
140,0.4613333333333334,1.2983284234595305,0.000125,0.424,1.3314537313106716
141,0.4504000000000001,1.3294601239907344,0.000125,0.402,1.437977007255082
142,0.45240000000000025,1.332488151456059,0.000125,0.426,1.378714645053249
143,0.44799999999999984,1.34428270746902,0.000125,0.408,1.4263977839050146
144,0.43813333333333326,1.3375722665676522,0.000125,0.404,1.3750860720183065
145,0.4322666666666666,1.3491692713837273,0.000125,0.414,1.358670943332791
146,0.4464,1.341211585083896,0.000125,0.436,1.340446561710697
147,0.4408000000000001,1.32559515196728,0.000125,0.428,1.349178919159919
148,0.44053333333333333,1.3294230535551508,0.000125,0.43,1.363503510109675
149,0.4474666666666666,1.350451170460898,0.000125,0.432,1.3406085790137352
150,0.44426666666666653,1.3551772447272714,0.000125,0.42,1.3706746066341047
151,0.43253333333333316,1.3521927264724198,0.000125,0.416,1.3881729075114817
152,0.45639999999999986,1.3215721716388016,0.000125,0.416,1.3982366893974012
153,0.4262666666666666,1.3610259148511457,0.000125,0.432,1.3688272402259511
154,0.47746666666666676,1.282456520753766,0.000125,0.436,1.3642868221353204
155,0.44906666666666667,1.3386278651261534,0.000125,0.46,1.3387859567909202
156,0.4584,1.3153059254456887,0.000125,0.386,1.425986920867523
157,0.46293333333333336,1.3026391433981832,0.000125,0.406,1.362585527267634
158,0.42440000000000005,1.3715675951080373,0.000125,0.404,1.3725915120737906
159,0.4418666666666665,1.3397592034139556,0.000125,0.398,1.3654648667615128
160,0.44159999999999977,1.3432306201571682,0.000125,0.442,1.3766566348491733
161,0.45666666666666683,1.311054652439109,0.000125,0.436,1.3435522677552707
162,0.4450666666666664,1.3312080318708168,0.000125,0.36,1.413140950790655
163,0.4411999999999998,1.323309408833844,0.000125,0.458,1.3238969794359823
164,0.45133333333333325,1.3243263165342165,0.000125,0.376,1.4019010128618261
165,0.4346666666666667,1.341226980608006,0.000125,0.448,1.3224030280940227
166,0.4482666666666668,1.334143254983174,0.000125,0.392,1.392181906211783
167,0.43599999999999994,1.3408819919887112,0.000125,0.412,1.371459172316705
168,0.43493333333333345,1.3374844005933202,0.000125,0.386,1.4242295318951217
169,0.4574666666666667,1.3111985953030527,0.000125,0.416,1.397751956535439
170,0.4311999999999999,1.3422520976491945,0.000125,0.406,1.3721700425389394
171,0.45746666666666663,1.3019294947500142,0.000125,0.444,1.3141401053736108
172,0.44133333333333336,1.339931515588421,0.000125,0.41,1.4058481826608051
173,0.44573333333333326,1.3227756274347633,0.000125,0.43,1.4028432550644194
174,0.44826666666666676,1.3308326517825306,0.000125,0.426,1.336372693883514
175,0.4466666666666665,1.3180991779453046,0.000125,0.444,1.3247289584319715
176,0.4445333333333331,1.3268691641107073,0.000125,0.466,1.2981290270374166
177,0.43346666666666656,1.3413017966918366,0.000125,0.424,1.3874738800479927
178,0.4278666666666666,1.351626598996015,0.000125,0.43,1.3930363792822429
179,0.4594666666666666,1.3039000339252937,0.000125,0.418,1.3588225399739993
180,0.453733333333333,1.3134236295505457,0.000125,0.42,1.3503904978284884
181,0.45493333333333325,1.3234283244035518,0.000125,0.42,1.354901196470728
182,0.44493333333333324,1.345584009920755,0.000125,0.432,1.3314584884467813
183,0.45493333333333313,1.3194907597145888,0.000125,0.416,1.3928083451572981
184,0.4502666666666667,1.3171035725653055,0.000125,0.404,1.371531037487151
185,0.44746666666666685,1.3339365514009303,0.000125,0.458,1.3328714756998798
186,0.4495999999999999,1.3228674333883688,0.000125,0.416,1.4443105005537535
187,0.44679999999999986,1.3261272481191824,0.000125,0.404,1.381875904686658
188,0.4394666666666665,1.3210199912902625,0.000125,0.416,1.3683895737731102
189,0.45999999999999985,1.300926018049345,0.000125,0.45,1.3370895910158314
190,0.45653333333333357,1.2996161535568314,0.000125,0.4,1.380258299866099
191,0.43226666666666674,1.362205929984025,0.000125,0.464,1.3326093000036405
192,0.4462666666666667,1.337253774151408,0.000125,0.456,1.3209108010955857
193,0.4366666666666667,1.3461799332713043,0.000125,0.44,1.3615994943891165
194,0.4526666666666666,1.3161283353581792,0.000125,0.444,1.302622901851353
195,0.45746666666666697,1.3146768205830333,0.000125,0.454,1.3320998029349007
196,0.4497333333333334,1.3180071283959816,0.000125,0.422,1.398388037557539
197,0.4394666666666668,1.322659592792038,0.000125,0.42,1.3890231421792827
198,0.4625333333333333,1.2921009932564878,0.000125,0.44,1.35401412308201
199,0.4613333333333335,1.3195110650452149,0.000125,0.438,1.334919300639174
200,0.4403999999999999,1.3335670175511083,0.000125,0.43,1.357315944663148
